DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/VWPJD5,broker,brokers,http://vocab.getty.edu/aat/300025215,0.96684086
doi:10.17026/SS/VWPJD5,french colonies,French Colonial,http://vocab.getty.edu/aat/300107024,0.902907
doi:10.17026/SS/VWPJD5,french colonies,Colonial French American,http://vocab.getty.edu/aat/300386014,0.80943
doi:10.17026/SS/VWPJD5,18th century,eighteenth century BCE,http://vocab.getty.edu/aat/300404538,0.8459481
doi:10.17026/SS/VWPJD5,18th century,eighteenth century (dates CE),http://vocab.getty.edu/aat/300404512,0.8446722
