DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/DANS-Z7Q-7ATH,body image,body painting,http://vocab.getty.edu/aat/300262450,0.6179611
doi:10.17026/DANS-Z7Q-7ATH,body image,New Image,http://vocab.getty.edu/aat/300263416,0.6149039
doi:10.17026/DANS-Z7Q-7ATH,negative affect,negatives (photographs),http://vocab.getty.edu/aat/300127173,0.6451484
doi:10.17026/DANS-Z7Q-7ATH,negative affect,paper negatives,http://vocab.getty.edu/aat/300380148,0.64021003
doi:10.17026/DANS-Z7Q-7ATH,negative affect,line negatives,http://vocab.getty.edu/aat/300456827,0.629897
doi:10.17026/DANS-Z7Q-7ATH,negative affect,negative perspective,http://vocab.getty.edu/aat/300263954,0.6245724
doi:10.17026/DANS-Z7Q-7ATH,negative affect,negative emotions,http://vocab.getty.edu/aat/300379953,0.6069545
doi:10.17026/DANS-Z7Q-7ATH,self-image,self-portraits,http://vocab.getty.edu/aat/300124534,0.6682823
doi:10.17026/DANS-Z7Q-7ATH,self-image,New Image,http://vocab.getty.edu/aat/300263416,0.6029691
