DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/JW3R0M,protestantism,Protestantism,http://vocab.getty.edu/aat/300073735,1.0000001
doi:10.17026/SS/JW3R0M,theology,theology,http://vocab.getty.edu/aat/300054313,1.0000002
doi:10.17026/SS/JW3R0M,theology,theologians,http://vocab.getty.edu/aat/300025784,0.808438
doi:10.17026/SS/JW3R0M,academic institution,universities (institutions),http://vocab.getty.edu/aat/300312240,0.83877885
doi:10.17026/SS/JW3R0M,religious association,religious organizations,http://vocab.getty.edu/aat/300250844,0.8207773
doi:10.17026/SS/JW3R0M,social network,social networking,http://vocab.getty.edu/aat/300312270,0.9512689
doi:10.17026/SS/JW3R0M,german language,German (language),http://vocab.getty.edu/aat/300388344,0.95674014
doi:10.17026/SS/JW3R0M,german language,Standard German (language),http://vocab.getty.edu/aat/300389318,0.8254429
