DOI,Number of Metadata Characters,Number of Keywords Generated,Number of Matched Terms,Matching Method,Cosine Similarity Threshold,Embedding Method,LLM Model
doi:10.17026/SS/JW3R0M,877,10,8,closest,0.8,SBERT,openai/gpt-oss-20b:groq
doi:10.17026/SS/JW3R0M,877,6,closest,0.8,SBERT,openai/gpt-oss-20b:groq
doi:10.17026/SS/JW3R0M,877,9,closest,0.8,SBERT,openai/gpt-oss-20b:groq
