DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/VWPJD5,broker,brokers,http://vocab.getty.edu/aat/300025215,0.96684086
doi:10.17026/SS/VWPJD5,newspaper,newspapers,http://vocab.getty.edu/aat/300026656,0.9627596
doi:10.17026/SS/VWPJD5,newspaper,newspaper columns,http://vocab.getty.edu/aat/300026441,0.8087286
doi:10.17026/SS/VWPJD5,colonialism,colonialism,http://vocab.getty.edu/aat/300400905,1.0
doi:10.17026/SS/VWPJD5,colonialism,colonials (people),http://vocab.getty.edu/aat/300236418,0.8519263
doi:10.17026/SS/VWPJD5,18th century,eighteenth century BCE,http://vocab.getty.edu/aat/300404538,0.8459481
doi:10.17026/SS/VWPJD5,18th century,eighteenth century (dates CE),http://vocab.getty.edu/aat/300404512,0.8446722
doi:10.17026/SS/VWPJD5,archive,Web archives,http://vocab.getty.edu/aat/300380353,0.8048619
doi:10.17026/SS/VWPJD5,accreditation,accreditation,http://vocab.getty.edu/aat/300077046,1.0000004
